ID	Status	Category	Description	Price
193	Retail	Kitchen	Description for product with ID of 193	 19.89 
194	Discounted	Kitchen	Description for product with ID of 194	 31.04 
195	Discontinued	Clothing	Description for product with ID of 195	 36.03 
196	Discounted	Kitchen	Description for product with ID of 196	 34.12 
197	Discontinued	Hardware	Description for product with ID of 197	 85.75 
198	Wholesale	Clothing	Description for product with ID of 198	 9.41 
199	Retail	Hardware	Description for product with ID of 199	 43.64 
200	Discontinued	Hardware	Description for product with ID of 200	 26.14 
201	Discounted	Hardware	Description for product with ID of 201	 43.41 
202	Discontinued	Hardware	Description for product with ID of 202	 28.43 
203	Discontinued	Hardware	Description for product with ID of 203	 48.33 
204	Discontinued	Clothing	Description for product with ID of 204	 96.41 
205	Retail	Clothing	Description for product with ID of 205	 43.19 
206	Discontinued	Clothing	Description for product with ID of 206	 91.09 
207	Discounted	Kitchen	Description for product with ID of 207	 58.62 
208	Retail	Hardware	Description for product with ID of 208	 9.80 
209	Discontinued	Clothing	Description for product with ID of 209	 61.92 
210	Retail	Clothing	Description for product with ID of 210	 33.80 
211	Discounted	Clothing	Description for product with ID of 211	 48.22 
212	Discounted	Hardware	Description for product with ID of 212	 58.18 
213	Wholesale	Hardware	Description for product with ID of 213	 87.87 
214	Discontinued	Hardware	Description for product with ID of 214	 56.56 
215	Retail	Kitchen	Description for product with ID of 215	 48.03 
216	Retail	Hardware	Description for product with ID of 216	 83.87 
217	Discontinued	Clothing	Description for product with ID of 217	 46.61 
218	Wholesale	Kitchen	Description for product with ID of 218	 88.94 
219	Wholesale	Hardware	Description for product with ID of 219	 92.81 
220	Discontinued	Kitchen	Description for product with ID of 220	 26.41 
221	Retail	Kitchen	Description for product with ID of 221	 34.46 
222	Discounted	Clothing	Description for product with ID of 222	 0.72 
223	Retail	Kitchen	Description for product with ID of 223	 34.65 
224	Wholesale	Clothing	Description for product with ID of 224	 59.46 
225	Discounted	Hardware	Description for product with ID of 225	 99.04 
226	Discontinued	Hardware	Description for product with ID of 226	 64.65 
227	Discounted	Hardware	Description for product with ID of 227	 85.93 
228	Retail	Kitchen	Description for product with ID of 228	 90.57 
229	Wholesale	Hardware	Description for product with ID of 229	 55.11 
230	Discontinued	Clothing	Description for product with ID of 230	 74.98 
231	Discontinued	Kitchen	Description for product with ID of 231	 91.71 
232	Discounted	Clothing	Description for product with ID of 232	 63.37 
233	Wholesale	Hardware	Description for product with ID of 233	 53.28 
234	Discounted	Clothing	Description for product with ID of 234	 14.14 
235	Retail	Clothing	Description for product with ID of 235	 10.87 
236	Retail	Hardware	Description for product with ID of 236	 48.77 
237	Discounted	Hardware	Description for product with ID of 237	 85.65 
238	Wholesale	Kitchen	Description for product with ID of 238	 97.59 
239	Retail	Kitchen	Description for product with ID of 239	 42.19 
240	Wholesale	Hardware	Description for product with ID of 240	 76.27 
241	Discontinued	Clothing	Description for product with ID of 241	 63.26 
242	Wholesale	Kitchen	Description for product with ID of 242	 81.48 
243	Retail	Clothing	Description for product with ID of 243	 81.90 
244	Discontinued	Clothing	Description for product with ID of 244	 1.01 
245	Discounted	Clothing	Description for product with ID of 245	 58.10 
246	Retail	Hardware	Description for product with ID of 246	 22.29 
247	Wholesale	Clothing	Description for product with ID of 247	 99.20 
248	Retail	Hardware	Description for product with ID of 248	 10.73 
249	Retail	Kitchen	Description for product with ID of 249	 59.43 
250	Discounted	Clothing	Description for product with ID of 250	 86.81 
251	Discontinued	Hardware	Description for product with ID of 251	 79.01 
252	Discontinued	Kitchen	Description for product with ID of 252	 28.62 
253	Discontinued	Kitchen	Description for product with ID of 253	 48.87 
254	Wholesale	Hardware	Description for product with ID of 254	 35.33 
255	Retail	Kitchen	Description for product with ID of 255	 78.93 
256	Discounted	Clothing	Description for product with ID of 256	 22.84 
257	Discounted	Hardware	Description for product with ID of 257	 23.76 
258	Discounted	Hardware	Description for product with ID of 258	 48.22 
259	Discontinued	Clothing	Description for product with ID of 259	 5.76 
260	Wholesale	Kitchen	Description for product with ID of 260	 79.31 
261	Discontinued	Hardware	Description for product with ID of 261	 69.40 
262	Discontinued	Clothing	Description for product with ID of 262	 42.14 
263	Discounted	Kitchen	Description for product with ID of 263	 43.05 
264	Retail	Clothing	Description for product with ID of 264	 48.37 
265	Retail	Kitchen	Description for product with ID of 265	 3.90 
266	Retail	Kitchen	Description for product with ID of 266	 9.59 
267	Retail	Clothing	Description for product with ID of 267	 45.00 
268	Discontinued	Kitchen	Description for product with ID of 268	 7.01 
269	Discounted	Clothing	Description for product with ID of 269	 10.84 
270	Wholesale	Hardware	Description for product with ID of 270	 60.64 
271	Wholesale	Kitchen	Description for product with ID of 271	 32.95 
272	Retail	Clothing	Description for product with ID of 272	 8.16 
273	Retail	Clothing	Description for product with ID of 273	 87.14 
274	Discounted	Hardware	Description for product with ID of 274	 72.29 
275	Discounted	Hardware	Description for product with ID of 275	 21.78 
276	Wholesale	Hardware	Description for product with ID of 276	 80.78 
277	Discounted	Kitchen	Description for product with ID of 277	 32.14 
278	Wholesale	Clothing	Description for product with ID of 278	 40.43 
279	Wholesale	Clothing	Description for product with ID of 279	 84.30 
280	Discontinued	Clothing	Description for product with ID of 280	 63.61 
281	Wholesale	Clothing	Description for product with ID of 281	 42.68 
282	Retail	Kitchen	Description for product with ID of 282	 3.22 
283	Discounted	Clothing	Description for product with ID of 283	 1.87 
284	Wholesale	Clothing	Description for product with ID of 284	 30.73 
285	Discontinued	Hardware	Description for product with ID of 285	 88.63 
286	Retail	Hardware	Description for product with ID of 286	 98.29 
287	Discounted	Clothing	Description for product with ID of 287	 74.71 
288	Retail	Kitchen	Description for product with ID of 288	 91.33 
289	Wholesale	Hardware	Description for product with ID of 289	 27.32 
290	Wholesale	Kitchen	Description for product with ID of 290	 2.63 
291	Discounted	Hardware	Description for product with ID of 291	 75.22 
292	Retail	Clothing	Description for product with ID of 292	 27.51 
293	Retail	Clothing	Description for product with ID of 293	 61.91 
294	Discounted	Clothing	Description for product with ID of 294	 62.21 
295	Discontinued	Clothing	Description for product with ID of 295	 33.04 
296	Wholesale	Kitchen	Description for product with ID of 296	 73.46 
297	Discontinued	Hardware	Description for product with ID of 297	 52.55 
298	Discontinued	Clothing	Description for product with ID of 298	 76.84 
299	Retail	Kitchen	Description for product with ID of 299	 29.76 
300	Wholesale	Hardware	Description for product with ID of 300	 41.57 
301	Discounted	Kitchen	Description for product with ID of 301	 16.62 
302	Retail	Hardware	Description for product with ID of 302	 85.29 
303	Discontinued	Kitchen	Description for product with ID of 303	 77.18 
304	Discounted	Clothing	Description for product with ID of 304	 44.14 
305	Discontinued	Kitchen	Description for product with ID of 305	 92.16 
306	Wholesale	Kitchen	Description for product with ID of 306	 59.96 
307	Discounted	Hardware	Description for product with ID of 307	 91.56 
308	Retail	Clothing	Description for product with ID of 308	 95.79 
309	Discontinued	Hardware	Description for product with ID of 309	 42.47 
310	Retail	Kitchen	Description for product with ID of 310	 35.61 
311	Discounted	Clothing	Description for product with ID of 311	 49.48 
312	Discontinued	Clothing	Description for product with ID of 312	 82.11 
313	Discounted	Clothing	Description for product with ID of 313	 62.39 
314	Discontinued	Clothing	Description for product with ID of 314	 10.02 
315	Discontinued	Kitchen	Description for product with ID of 315	 44.71 
316	Retail	Clothing	Description for product with ID of 316	 28.08 
317	Wholesale	Clothing	Description for product with ID of 317	 4.30 
318	Discontinued	Kitchen	Description for product with ID of 318	 6.57 
319	Wholesale	Clothing	Description for product with ID of 319	 52.78 
320	Discounted	Hardware	Description for product with ID of 320	 7.83 
321	Discounted	Clothing	Description for product with ID of 321	 35.71 
322	Discounted	Kitchen	Description for product with ID of 322	 58.74 
323	Discounted	Clothing	Description for product with ID of 323	 74.63 
324	Retail	Hardware	Description for product with ID of 324	 39.68 
325	Discontinued	Clothing	Description for product with ID of 325	 30.91 
326	Discounted	Kitchen	Description for product with ID of 326	 10.14 
327	Wholesale	Clothing	Description for product with ID of 327	 84.63 
328	Retail	Hardware	Description for product with ID of 328	 67.69 
329	Discontinued	Kitchen	Description for product with ID of 329	 13.11 
330	Retail	Kitchen	Description for product with ID of 330	 16.10 
331	Retail	Kitchen	Description for product with ID of 331	 19.19 
332	Wholesale	Kitchen	Description for product with ID of 332	 31.66 
333	Discounted	Kitchen	Description for product with ID of 333	 81.84 
334	Wholesale	Hardware	Description for product with ID of 334	 8.74 
335	Retail	Kitchen	Description for product with ID of 335	 76.09 
336	Discounted	Kitchen	Description for product with ID of 336	 26.34 
337	Discounted	Clothing	Description for product with ID of 337	 67.54 
338	Retail	Clothing	Description for product with ID of 338	 74.65 
339	Discontinued	Kitchen	Description for product with ID of 339	 91.93 
340	Retail	Kitchen	Description for product with ID of 340	 5.93 
341	Discontinued	Clothing	Description for product with ID of 341	 24.44 
342	Retail	Clothing	Description for product with ID of 342	 81.61 
343	Discounted	Kitchen	Description for product with ID of 343	 5.77 
344	Wholesale	Hardware	Description for product with ID of 344	 24.11 
345	Discontinued	Kitchen	Description for product with ID of 345	 53.11 
346	Discontinued	Clothing	Description for product with ID of 346	 94.97 
347	Wholesale	Clothing	Description for product with ID of 347	 81.23 
348	Discontinued	Clothing	Description for product with ID of 348	 9.03 
349	Retail	Clothing	Description for product with ID of 349	 87.91 
350	Discounted	Kitchen	Description for product with ID of 350	 93.60 
351	Discontinued	Hardware	Description for product with ID of 351	 77.78 
352	Discounted	Clothing	Description for product with ID of 352	 16.96 
353	Discontinued	Clothing	Description for product with ID of 353	 60.81 
354	Discontinued	Hardware	Description for product with ID of 354	 42.41 
355	Retail	Clothing	Description for product with ID of 355	 17.81 
356	Retail	Kitchen	Description for product with ID of 356	 22.75 
357	Wholesale	Hardware	Description for product with ID of 357	 67.31 
358	Wholesale	Clothing	Description for product with ID of 358	 95.80 
359	Discontinued	Clothing	Description for product with ID of 359	 55.29 
360	Retail	Hardware	Description for product with ID of 360	 11.81 
361	Discontinued	Hardware	Description for product with ID of 361	 55.28 
362	Discontinued	Hardware	Description for product with ID of 362	 21.37 
363	Retail	Kitchen	Description for product with ID of 363	 12.67 
364	Discounted	Kitchen	Description for product with ID of 364	 98.93 
365	Retail	Kitchen	Description for product with ID of 365	 70.90 
366	Retail	Kitchen	Description for product with ID of 366	 53.64 
367	Wholesale	Clothing	Description for product with ID of 367	 1.37 
368	Wholesale	Clothing	Description for product with ID of 368	 5.15 
369	Discontinued	Kitchen	Description for product with ID of 369	 24.66 
370	Discounted	Hardware	Description for product with ID of 370	 13.75 
371	Retail	Clothing	Description for product with ID of 371	 89.18 
372	Discontinued	Kitchen	Description for product with ID of 372	 82.78 
373	Wholesale	Clothing	Description for product with ID of 373	 18.93 
374	Retail	Hardware	Description for product with ID of 374	 10.47 
375	Wholesale	Hardware	Description for product with ID of 375	 27.57 
376	Retail	Hardware	Description for product with ID of 376	 20.91 
377	Retail	Kitchen	Description for product with ID of 377	 84.84 
378	Retail	Clothing	Description for product with ID of 378	 93.06 
379	Wholesale	Kitchen	Description for product with ID of 379	 70.41 
380	Discontinued	Kitchen	Description for product with ID of 380	 50.75 
381	Discontinued	Clothing	Description for product with ID of 381	 49.88 
382	Retail	Kitchen	Description for product with ID of 382	 99.30 
383	Discounted	Clothing	Description for product with ID of 383	 79.71 
384	Retail	Clothing	Description for product with ID of 384	 46.80 
385	Wholesale	Clothing	Description for product with ID of 385	 92.78 
386	Wholesale	Kitchen	Description for product with ID of 386	 42.25 
387	Wholesale	Hardware	Description for product with ID of 387	 77.63 
388	Discounted	Kitchen	Description for product with ID of 388	 50.81 
389	Retail	Kitchen	Description for product with ID of 389	 29.65 
390	Wholesale	Hardware	Description for product with ID of 390	 96.25 
391	Discounted	Clothing	Description for product with ID of 391	 39.77 
392	Wholesale	Clothing	Description for product with ID of 392	 9.80 
393	Discounted	Clothing	Description for product with ID of 393	 14.58 
394	Retail	Kitchen	Description for product with ID of 394	 63.98 
395	Discontinued	Hardware	Description for product with ID of 395	 51.18 
396	Wholesale	Kitchen	Description for product with ID of 396	 86.14 
397	Discounted	Clothing	Description for product with ID of 397	 92.42 
398	Wholesale	Clothing	Description for product with ID of 398	 32.64 
399	Discontinued	Hardware	Description for product with ID of 399	 40.68 
400	Wholesale	Hardware	Description for product with ID of 400	 93.58 
401	Discontinued	Kitchen	Description for product with ID of 401	 63.78 
402	Discontinued	Clothing	Description for product with ID of 402	 65.00 
403	Wholesale	Hardware	Description for product with ID of 403	 89.43 
404	Retail	Kitchen	Description for product with ID of 404	 61.99 
405	Wholesale	Kitchen	Description for product with ID of 405	 68.94 
406	Discontinued	Hardware	Description for product with ID of 406	 78.99 
407	Discounted	Kitchen	Description for product with ID of 407	 14.24 
408	Retail	Kitchen	Description for product with ID of 408	 72.95 
409	Discontinued	Kitchen	Description for product with ID of 409	 32.57 
410	Discontinued	Hardware	Description for product with ID of 410	 92.02 
411	Retail	Kitchen	Description for product with ID of 411	 31.77 
412	Wholesale	Clothing	Description for product with ID of 412	 98.53 
413	Wholesale	Clothing	Description for product with ID of 413	 23.05 
414	Retail	Clothing	Description for product with ID of 414	 45.49 
415	Discounted	Clothing	Description for product with ID of 415	 9.67 
416	Retail	Kitchen	Description for product with ID of 416	 41.36 
417	Wholesale	Hardware	Description for product with ID of 417	 28.00 
418	Retail	Kitchen	Description for product with ID of 418	 35.05 
419	Discontinued	Kitchen	Description for product with ID of 419	 94.63 
420	Discontinued	Clothing	Description for product with ID of 420	 81.58 
421	Discontinued	Kitchen	Description for product with ID of 421	 23.79 
422	Retail	Kitchen	Description for product with ID of 422	 44.07 
423	Wholesale	Clothing	Description for product with ID of 423	 49.97 
424	Discontinued	Clothing	Description for product with ID of 424	 9.79 
425	Discontinued	Kitchen	Description for product with ID of 425	 1.65 
426	Discounted	Hardware	Description for product with ID of 426	 89.64 
427	Retail	Clothing	Description for product with ID of 427	 11.51 
428	Discontinued	Clothing	Description for product with ID of 428	 49.46 
429	Retail	Clothing	Description for product with ID of 429	 53.44 
430	Wholesale	Kitchen	Description for product with ID of 430	 68.02 
431	Discounted	Clothing	Description for product with ID of 431	 33.03 
432	Retail	Kitchen	Description for product with ID of 432	 15.00 
433	Discounted	Kitchen	Description for product with ID of 433	 58.83 
434	Wholesale	Kitchen	Description for product with ID of 434	 61.82 
435	Retail	Kitchen	Description for product with ID of 435	 5.50 
436	Wholesale	Clothing	Description for product with ID of 436	 18.66 
437	Retail	Clothing	Description for product with ID of 437	 35.58 
438	Wholesale	Clothing	Description for product with ID of 438	 79.62 
439	Retail	Hardware	Description for product with ID of 439	 1.52 
440	Retail	Clothing	Description for product with ID of 440	 68.07 
441	Wholesale	Hardware	Description for product with ID of 441	 42.94 
442	Retail	Hardware	Description for product with ID of 442	 59.23 
443	Wholesale	Kitchen	Description for product with ID of 443	 6.04 
444	Retail	Hardware	Description for product with ID of 444	 67.96 
445	Discounted	Hardware	Description for product with ID of 445	 65.96 
446	Discontinued	Hardware	Description for product with ID of 446	 93.43 
447	Wholesale	Hardware	Description for product with ID of 447	 45.93 
448	Discounted	Hardware	Description for product with ID of 448	 18.07 
449	Retail	Hardware	Description for product with ID of 449	 70.06 
450	Wholesale	Hardware	Description for product with ID of 450	 19.83 
451	Wholesale	Kitchen	Description for product with ID of 451	 74.81 
452	Discounted	Hardware	Description for product with ID of 452	 11.83 
453	Discontinued	Hardware	Description for product with ID of 453	 3.97 
454	Retail	Kitchen	Description for product with ID of 454	 5.69 
455	Discontinued	Kitchen	Description for product with ID of 455	 59.11 
456	Retail	Hardware	Description for product with ID of 456	 57.31 
457	Wholesale	Kitchen	Description for product with ID of 457	 71.05 
458	Retail	Hardware	Description for product with ID of 458	 38.40 
459	Discounted	Kitchen	Description for product with ID of 459	 91.62 
460	Discounted	Kitchen	Description for product with ID of 460	 15.63 
461	Discontinued	Clothing	Description for product with ID of 461	 90.34 
462	Wholesale	Clothing	Description for product with ID of 462	 9.87 
463	Retail	Clothing	Description for product with ID of 463	 59.02 
464	Discounted	Clothing	Description for product with ID of 464	 55.99 
465	Retail	Kitchen	Description for product with ID of 465	 3.76 
466	Wholesale	Clothing	Description for product with ID of 466	 23.28 
467	Discounted	Kitchen	Description for product with ID of 467	 58.80 
468	Discontinued	Clothing	Description for product with ID of 468	 75.05 
469	Discontinued	Clothing	Description for product with ID of 469	 75.00 
470	Wholesale	Clothing	Description for product with ID of 470	 85.17 
471	Retail	Kitchen	Description for product with ID of 471	 49.35 
472	Retail	Clothing	Description for product with ID of 472	 43.27 
